"title_id","primaryTitle","year","budget","domgross","intgross","budget_2013_infl","domgross_2013_infl","intgross_2013_infl","runtimeMinutes","averageRating","numVotes","genreComedy","genreAction","genreCrime","genreSciFi","genreBiography","genreDrama","genreHistory","genreThriller","genreSport","genreFantasy","genreRomance","genreAdventure","genreHorror","genreAnimation","genreMystery","genreFamily","genreWar","genreWestern","genreMusical","genreMusic","genreDocumentary","genreUndefined","genreAdult","num_female_producers","total_producers","pct_female_producers","num_female_castmembers","total_castmembers","pct_female_castmembers","num_female_directors","total_directors","pct_female_directors","num_female_writers","total_writers","pct_female_writers","test","bechdel_pass"
"tt2191701","Grown Ups 2",2013,80000000,133668525,247023808,80000000,133668525,247023808,101,5.3,159658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,3,0,"men","False"
"tt1428538","Hansel & Gretel: Witch Hunters",2013,50000000,55703475,225703475,50000000,55703475,225703475,88,6.1,210518,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,4,0.5,0,1,0,0,3,0,"ok","True"
"tt1798709","Her",2013,23000000,25000178,33029713,23000000,25000178,33029713,126,8,631230,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,"men","False"
"tt2024432","Identity Thief",2013,35000000,134506920,176269721,35000000,134506920,176269721,111,5.7,136430,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,2,0,"men","False"
"tt2226417","Insidious: Chapter 2",2013,5000000,83586447,161911222,5000000,83586447,161911222,106,6.5,175643,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,2,0.5,"men","False"
"tt1300854","Iron Man 3",2013,200000000,408992272,1212692272,200000000,408992272,1212692272,130,7.1,864995,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,4,0.25,0,1,0,0,8,0,"dubious","False"
"tt1351685","Jack the Giant Slayer",2013,195000000,65187603,197387603,195000000,65187603,197387603,114,6.2,142130,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,4,0,"nowomen","False"
"tt1650554","Kick-Ass 2",2013,28000000,28795985,60839197,28000000,28795985,60839197,103,6.5,278745,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,3,0,"ok","True"
"tt1204975","Last Vegas",2013,28000000,63914167,112914167,28000000,63914167,112914167,105,6.6,134148,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,"notalk","False"
"tt1327773","The Butler",2013,30000000,116632095,151513429,30000000,116632095,151513429,132,7.2,117222,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,2,4,0.5,0,1,0,0,2,0,"ok","True"
